,orig.ident,nCount_RNA,nFeature_RNA,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,n_genes,leiden,Celltype
BC04BLOOD3_84854,31,1479.0966484546661,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,563,0,CD4Tn
BC04BLOOD3_84860,31,1449.5170664787292,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543,0,CD4Tn
BC04BLOOD3_84862,31,1367.756327867508,503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503,0,CD4Tn
BC04BLOOD3_84863,31,1537.7327661514282,582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,582,0,CD4Tn
BC04BLOOD3_84877,31,1490.1692864894867,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,0,CD4Tn
BC04BLOOD3_84878,31,1525.5727708339691,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635,0,CD4Tn
BC04BLOOD3_84885,31,1691.3873958587646,702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,702,0,CD4Tn
BC04BLOOD3_84892,31,1495.7478783130646,579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,579,0,CD4Tn
BC04BLOOD3_84910,31,1406.3304891586304,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518,0,CD4Tn
BC04BLOOD3_84913,31,1611.9601609706879,676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,676,0,CD4Tn
BC04BLOOD3_84916,31,1427.2811064720154,556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,556,0,CD4Tn
BC04BLOOD3_84919,31,1442.136647939682,589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589,0,CD4Tn
BC04BLOOD3_84923,31,1441.1651837825775,545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545,0,CD4Tn
BC04BLOOD3_84924,31,1747.8067591190338,783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,783,0,CD4Tn
BC04BLOOD3_84926,31,1374.333788394928,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515,0,CD4Tn
BC04BLOOD3_84927,31,1463.5613377094269,577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577,0,CD4Tn
BC04BLOOD3_84934,31,1644.5475244522095,655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,655,0,CD4Tn
BC04BLOOD3_84946,31,1594.852463722229,649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649,0,CD4Tn
BC04BLOOD3_84948,31,1698.127590417862,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,680,0,CD4Tn
BC04BLOOD3_84949,31,1477.2809391021729,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,581,0,CD4Tn
BC04BLOOD3_84955,31,1753.665090560913,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760,0,CD4Tn
BC04BLOOD3_84958,31,1460.3596360683441,551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551,0,CD4Tn
BC04BLOOD3_84959,31,1474.2614481449127,582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,582,0,CD4Tn
BC04BLOOD3_84960,31,1627.5763549804688,664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664,0,CD4Tn
BC04BLOOD3_84965,31,1516.3998007774353,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,0,CD4Tn
BC04BLOOD3_84969,31,1661.0737538337708,691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,691,0,CD4Tn
BC04BLOOD3_84976,31,1435.562994480133,546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,546,0,CD4Tn
BC04BLOOD3_84977,31,1807.7561254501343,851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,851,0,CD4Tn
BC04BLOOD3_84978,31,1661.7709484100342,698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,698,0,CD4Tn
BC04BLOOD3_84980,31,1562.0651559829712,646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,646,0,CD4Tn
BC04BLOOD3_84987,31,1616.313105583191,617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,617,0,CD4Tn
BC04BLOOD3_84996,31,1501.4771511554718,595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,595,0,CD4Tn
BC04BLOOD3_84998,31,1486.7995343208313,566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566,0,CD4Tn
BC04BLOOD3_85001,31,1567.5096316337585,627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,627,0,CD4Tn
BC04BLOOD3_85009,31,1508.5698194503784,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615,0,CD4Tn
BC04BLOOD3_85014,31,1675.5335240364075,709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,709,0,CD4Tn
BC04BLOOD3_85019,31,1697.3176035881042,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,0,CD4Tn
BC04BLOOD3_85023,31,1409.6191325187683,535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,535,0,CD4Tn
BC04BLOOD3_85028,31,1399.7406232357025,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,540,0,CD4Tn
BC04BLOOD3_85030,31,1553.7761874198914,631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,631,0,CD4Tn
BC04BLOOD3_85038,31,1372.9434611797333,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,0,CD4Tn
BC04BLOOD3_85040,31,1478.6851761341095,556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,556,0,CD4Tn
BC04BLOOD3_85041,31,1556.6335096359253,622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,622,0,CD4Tn
BC04BLOOD3_85042,31,1702.3545806407928,714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,714,0,CD4Tn
BC04BLOOD3_85049,31,1464.2820188999176,558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558,0,CD4Tn
BC04BLOOD3_85053,31,1461.7364978790283,553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553,0,CD4Tn
